Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Congo,Brazzaville,2025-06-01 09:45:00,27.3,79,1018.0,Partly Cloudy,1.0000080000000002
Congo,Brazzaville,2025-06-02 10:00:00,27.1,74,1016.0,Mist,1.1944540000000001
Congo,Brazzaville,2025-06-03 10:00:00,25.4,79,1018.0,Partly cloudy,2.194462
Congo,Brazzaville,2025-06-04 10:00:00,26.1,79,1018.0,Partly cloudy,2.6111320000000005
Congo,Brazzaville,2025-06-05 09:45:00,25.6,75,1017.0,Partly Cloudy,1.0000080000000002
Congo,Brazzaville,2025-06-06 09:45:00,26.2,79,1018.0,Partly Cloudy,1.0000080000000002
Congo,Brazzaville,2025-06-07 09:45:00,24.1,83,1018.0,Partly cloudy,1.611124
Congo,Brazzaville,2025-06-08 10:00:00,27.0,74,1016.0,Partly cloudy,1.611124
Congo,Brazzaville,2025-06-09 10:00:00,25.2,83,1018.0,Partly cloudy,1.1944540000000001
Congo,Brazzaville,2025-06-10 10:00:00,26.3,84,1015.0,Mist,2.0000160000000005
Congo,Brazzaville,2025-06-11 10:00:00,26.1,74,1014.0,Partly cloudy,1.694458
Congo,Brazzaville,2025-06-12 09:45:00,26.9,75,1013.0,Partly Cloudy,1.694458
Congo,Brazzaville,2025-06-13 10:00:00,25.3,83,1016.0,Partly cloudy,2.0000160000000005
Congo,Brazzaville,2025-06-14 10:00:00,22.2,94,1018.0,Cloudy,1.8889040000000001
Congo,Brazzaville,2025-06-15 09:45:00,23.4,94,1018.0,Partly cloudy,1.694458
Congo,Brazzaville,2025-06-16 10:00:00,25.2,83,1018.0,Partly cloudy,1.611124
Congo,Brazzaville,2025-06-17 10:00:00,25.3,79,1017.0,Mist,2.6944660000000002
Congo,Brazzaville,2025-06-18 10:15:00,24.2,89,1019.0,Partly cloudy,1.694458
Congo,Brazzaville,2025-06-19 10:00:00,25.4,79,1012.0,Partly Cloudy,2.194462
Congo,Brazzaville,2025-06-20 10:00:00,28.4,56,1016.0,Sunny,1.694458
Congo,Brazzaville,2025-06-21 09:45:00,24.2,78,1017.0,Mist,2.111128
Congo,Brazzaville,2025-06-22 09:30:00,24.2,83,1018.0,Mist,2.8889120000000004
Congo,Brazzaville,2025-06-23 10:00:00,23.4,89,1016.0,Mist,1.8889040000000001
Congo,Brazzaville,2025-06-24 09:45:00,25.2,79,1016.0,Mist,1.611124
Congo,Brazzaville,2025-06-25 09:45:00,23.1,89,1016.0,Mist,1.694458
Congo,Brazzaville,2025-06-26 10:00:00,24.3,78,1017.0,Partly cloudy,2.111128
Congo,Brazzaville,2025-06-27 10:00:00,29.0,59,1015.0,Partly Cloudy,2.3055740000000005
Congo,Brazzaville,2025-06-28 09:45:00,24.1,83,1017.0,Mist,2.50002
Congo,Brazzaville,2025-06-29 09:15:00,23.1,83,1017.0,Partly cloudy,1.8889040000000001
Congo,Brazzaville,2025-06-30 09:45:00,23.3,83,1017.0,Sunny,2.194462
